t, c	M(t), рад	E(t), рад	Theta(t), рад	
729	0.106029	0.300324	0.64186
730	0.106174	0.300722	0.642666
731	0.10632	0.301092	0.643414
732	0.106465	0.30149	0.644219
733	0.106611	0.301879	0.645006
734	0.106756	0.302277	0.645811
735	0.106901	0.302675	0.646615
736	0.107047	0.30305	0.647373
737	0.107192	0.303443	0.648167
738	0.107338	0.303832	0.648953
739	0.107483	0.30423	0.649757
740	0.107629	0.304628	0.65056
741	0.107774	0.305003	0.651318
742	0.10792	0.305401	0.652121
743	0.108065	0.305771	0.652868
744	0.10821	0.306183	0.653699
745	0.108356	0.306558	0.654456
746	0.108501	0.306956	0.655258
747	0.108647	0.307326	0.656004
748	0.108792	0.307724	0.656806
749	0.108938	0.308113	0.657591
750	0.109083	0.308511	0.658393
751	0.109229	0.308881	0.659138
752	0.109374	0.309279	0.65994
753	0.109519	0.309668	0.660724
754	0.109665	0.310066	0.661525
755	0.10981	0.310436	0.662269
