t, c	M(t), рад	E(t), рад	Theta(t), рад	
726	0.105592	0.299156	0.639495
727	0.105738	0.299542	0.640276
728	0.105883	0.299939	0.64108
729	0.106029	0.300325	0.641861
730	0.106174	0.30071	0.642642
731	0.10632	0.301108	0.643446
732	0.106465	0.301493	0.644226
733	0.106611	0.301891	0.645029
734	0.106756	0.302276	0.645809
735	0.106901	0.302662	0.646589
736	0.107047	0.303059	0.647392
737	0.107192	0.303445	0.648171
738	0.107338	0.303831	0.648951
739	0.107483	0.304228	0.649753
740	0.107629	0.304614	0.650532
741	0.107774	0.305	0.651311
742	0.10792	0.305397	0.652113
743	0.108065	0.305783	0.652891
744	0.10821	0.306168	0.65367
745	0.108356	0.306566	0.654471
746	0.108501	0.306951	0.655249
747	0.108647	0.307337	0.656027
748	0.108792	0.307723	0.656805
749	0.108938	0.30812	0.657605
750	0.109083	0.308506	0.658383
751	0.109229	0.308892	0.65916
752	0.109374	0.309277	0.659937
753	0.109519	0.309675	0.660737
754	0.109665	0.31006	0.661514
755	0.10981	0.310446	0.66229
